model,seed,corruption,severity,accuracy
none,1,clean,0,83.96
none,1,brightness,1,83.86
none,1,brightness,2,83.22
none,1,brightness,3,81.96
none,1,brightness,4,80.23
none,1,brightness,5,76.16
none,1,contrast,1,81.84
none,1,contrast,2,70.73
none,1,contrast,3,59.61
none,1,contrast,4,42.14
none,1,contrast,5,23.75
none,1,defocus_blur,1,83.47
none,1,defocus_blur,2,80.72
none,1,defocus_blur,3,75.18
none,1,defocus_blur,4,67.89
none,1,defocus_blur,5,52.27
none,1,elastic_transform,1,77.5
none,1,elastic_transform,2,77.15
none,1,elastic_transform,3,73.91
none,1,elastic_transform,4,69.71
none,1,elastic_transform,5,67.44
