model,seed,corruption,severity,accuracy
SE,3,clean,0,89.11
SE,3,brightness,1,88.89
SE,3,brightness,2,88.58
SE,3,brightness,3,87.59
SE,3,brightness,4,86.42
SE,3,brightness,5,82.87
SE,3,contrast,1,88.47
SE,3,contrast,2,81.88
SE,3,contrast,3,74.22
SE,3,contrast,4,59.12
SE,3,contrast,5,25.45
SE,3,defocus_blur,1,88.71
SE,3,defocus_blur,2,86.94
SE,3,defocus_blur,3,80.96
SE,3,defocus_blur,4,69.19
SE,3,defocus_blur,5,51.01
SE,3,elastic_transform,1,83.31
SE,3,elastic_transform,2,82.87
SE,3,elastic_transform,3,78.12
SE,3,elastic_transform,4,72.89
SE,3,elastic_transform,5,69.5
