model,seed,corruption,severity,accuracy
CBAM,2,clean,0,89.3
CBAM,2,brightness,1,89.1
CBAM,2,brightness,2,88.79
CBAM,2,brightness,3,87.46
CBAM,2,brightness,4,86.55
CBAM,2,brightness,5,83.36
CBAM,2,contrast,1,88.32
CBAM,2,contrast,2,82.5
CBAM,2,contrast,3,75.66
CBAM,2,contrast,4,61.91
CBAM,2,contrast,5,25.47
CBAM,2,defocus_blur,1,89.23
CBAM,2,defocus_blur,2,87.07
CBAM,2,defocus_blur,3,80.14
CBAM,2,defocus_blur,4,68.47
CBAM,2,defocus_blur,5,52.6
CBAM,2,elastic_transform,1,83.16
CBAM,2,elastic_transform,2,83.09
CBAM,2,elastic_transform,3,78.29
CBAM,2,elastic_transform,4,73.9
CBAM,2,elastic_transform,5,70.47
