model,seed,corruption,severity,accuracy
BAM,3,clean,0,83.48
BAM,3,brightness,1,83.41
BAM,3,brightness,2,82.87
BAM,3,brightness,3,82.08
BAM,3,brightness,4,80.76
BAM,3,brightness,5,76.8
BAM,3,contrast,1,82.0
BAM,3,contrast,2,72.11
BAM,3,contrast,3,61.16
BAM,3,contrast,4,43.14
BAM,3,contrast,5,22.36
BAM,3,defocus_blur,1,83.38
BAM,3,defocus_blur,2,80.26
BAM,3,defocus_blur,3,73.2
BAM,3,defocus_blur,4,62.9
BAM,3,defocus_blur,5,44.19
BAM,3,elastic_transform,1,76.85
BAM,3,elastic_transform,2,76.67
BAM,3,elastic_transform,3,71.88
BAM,3,elastic_transform,4,67.41
BAM,3,elastic_transform,5,64.85
