model,seed,corruption,severity,accuracy
BAM,1,clean,0,78.77
BAM,1,brightness,1,78.39
BAM,1,brightness,2,77.51
BAM,1,brightness,3,76.33
BAM,1,brightness,4,74.89
BAM,1,brightness,5,70.35
BAM,1,contrast,1,76.08
BAM,1,contrast,2,63.24
BAM,1,contrast,3,52.49
BAM,1,contrast,4,36.97
BAM,1,contrast,5,21.6
BAM,1,defocus_blur,1,78.32
BAM,1,defocus_blur,2,75.6
BAM,1,defocus_blur,3,69.41
BAM,1,defocus_blur,4,61.97
BAM,1,defocus_blur,5,47.95
BAM,1,elastic_transform,1,72.13
BAM,1,elastic_transform,2,71.83
BAM,1,elastic_transform,3,67.88
BAM,1,elastic_transform,4,65.7
BAM,1,elastic_transform,5,65.17
