model,seed,corruption,severity,accuracy
none,2,clean,0,88.16
none,2,brightness,1,88.12
none,2,brightness,2,87.51
none,2,brightness,3,86.65
none,2,brightness,4,85.64
none,2,brightness,5,82.79
none,2,contrast,1,86.83
none,2,contrast,2,79.73
none,2,contrast,3,71.46
none,2,contrast,4,55.83
none,2,contrast,5,27.45
none,2,defocus_blur,1,88.13
none,2,defocus_blur,2,85.87
none,2,defocus_blur,3,79.11
none,2,defocus_blur,4,67.63
none,2,defocus_blur,5,46.23
none,2,elastic_transform,1,81.6
none,2,elastic_transform,2,82.1
none,2,elastic_transform,3,77.39
none,2,elastic_transform,4,72.31
none,2,elastic_transform,5,67.72
