model,seed,corruption,severity,accuracy
SE,2,clean,0,89.42
SE,2,brightness,1,89.09
SE,2,brightness,2,88.57
SE,2,brightness,3,87.64
SE,2,brightness,4,86.59
SE,2,brightness,5,83.26
SE,2,contrast,1,88.54
SE,2,contrast,2,82.89
SE,2,contrast,3,76.4
SE,2,contrast,4,63.39
SE,2,contrast,5,28.22
SE,2,defocus_blur,1,88.99
SE,2,defocus_blur,2,86.7
SE,2,defocus_blur,3,78.44
SE,2,defocus_blur,4,66.65
SE,2,defocus_blur,5,48.87
SE,2,elastic_transform,1,82.76
SE,2,elastic_transform,2,82.25
SE,2,elastic_transform,3,76.84
SE,2,elastic_transform,4,71.41
SE,2,elastic_transform,5,68.06
