model,seed,corruption,severity,accuracy
CBAM,3,clean,0,89.4
CBAM,3,brightness,1,89.1
CBAM,3,brightness,2,88.63
CBAM,3,brightness,3,87.95
CBAM,3,brightness,4,86.99
CBAM,3,brightness,5,83.83
CBAM,3,contrast,1,88.69
CBAM,3,contrast,2,83.51
CBAM,3,contrast,3,76.54
CBAM,3,contrast,4,62.6
CBAM,3,contrast,5,28.17
CBAM,3,defocus_blur,1,89.43
CBAM,3,defocus_blur,2,87.81
CBAM,3,defocus_blur,3,82.46
CBAM,3,defocus_blur,4,71.59
CBAM,3,defocus_blur,5,55.67
CBAM,3,elastic_transform,1,84.36
CBAM,3,elastic_transform,2,83.66
CBAM,3,elastic_transform,3,79.79
CBAM,3,elastic_transform,4,73.5
CBAM,3,elastic_transform,5,69.35
